state,state_link
Andhra Pradesh,https://www.redbus.in/online-booking/apsrtc
Assam,https://www.redbus.in/online-booking/astc
Assam,https://www.redbus.in/online-booking/kaac-transport
Bihar,https://www.redbus.in/online-booking/bihar-state-road-transport-corporation-bsrtc
Himachal,https://www.redbus.in/online-booking/hrtc
Jammu and Kashmir,https://www.redbus.in/online-booking/jksrtc
Kerala,https://www.redbus.in/online-booking/ksrtc-kerala
Kadamba,https://www.redbus.in/online-booking/ktcl
Meghalaya,https://www.redbus.in/online-booking/meghalaya-transport-corporation-mtc
Patiala and the East Punjab,https://www.redbus.in/online-booking/pepsu
Rajasthan,https://www.redbus.in/online-booking/rsrtc
Sikkim,https://www.redbus.in/online-booking/sikkim-nationalised-transport-snt
South Bengal,https://www.redbus.in/online-booking/south-bengal-state-transport-corporation-sbstc
Telangana,https://www.redbus.in/online-booking/tsrtc
Uttar Pradesh,https://www.redbus.in/online-booking/uttar-pradesh-state-road-transport-corporation-upsrtc
West Bengal,https://www.redbus.in/online-booking/west-bengal-transport-corporation
North Bengal,https://www.redbus.in/online-booking/north-bengal-state-transport-corporation
Chandigarh,https://www.redbus.in/online-booking/chandigarh-transport-undertaking-ctu
